comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,fva_daily::recogidas_ege::h15,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h15,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h16,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h16,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h16,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h16,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h17,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h17,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h17,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h17,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h18,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h18,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h18,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h18,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h19,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h19,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h19,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h19,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h20,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h20,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h20,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h20,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h21,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h21,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h21,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h21,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h22,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h22,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h22,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h22,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h23,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h23,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h23,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h23,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h24,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h24,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h24,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h24,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h25,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h25,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h25,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h25,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h26,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h26,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h26,bias,,,,
